time 00h 53m 00s, episodes 5173, frames 0.6M, mean epr -479.83, run loss 2162.84
time 00h 53m 10s, episodes 5188, frames 0.6M, mean epr -482.23, run loss 2136.42
time 00h 53m 21s, episodes 5206, frames 0.6M, mean epr -494.88, run loss 2234.44
time 00h 53m 31s, episodes 5223, frames 0.6M, mean epr -492.65, run loss 2232.47
time 00h 53m 41s, episodes 5241, frames 0.6M, mean epr -488.14, run loss 2240.98
time 00h 53m 52s, episodes 5257, frames 0.6M, mean epr -496.87, run loss 2308.67
time 00h 54m 02s, episodes 5272, frames 0.6M, mean epr -503.61, run loss 2318.07
time 00h 54m 13s, episodes 5289, frames 0.6M, mean epr -494.63, run loss 2256.91
time 00h 54m 23s, episodes 5303, frames 0.6M, mean epr -492.87, run loss 2270.08
time 00h 54m 34s, episodes 5324, frames 0.6M, mean epr -489.98, run loss 2299.80
time 00h 54m 44s, episodes 5339, frames 0.6M, mean epr -485.44, run loss 2343.63
